bug_id,title,type,project,clean_title
304313,Periodically getting access denied error while navigating between sessions,bug,VS Code,periodically getting access denied error navigating session
304294,Can't read archived sessions in light mode,bug,VS Code,cant read archived session light mode
304291,Failed sandbox commands should retry automatically if the reason is clearly the sandbox,bug,VS Code,failed sandbox command retry automatically reason clearly sandbox
304257,terminal restart for integrated pwsh can cause cursor to go to wrong location,bug,VS Code,terminal restart integrated pwsh cause cursor go wrong location
304244,Forked conversation thinking section rendering looks wrong,bug,VS Code,forked conversation thinking section rendering look wrong
304232,Flatten sandbox network settings,bug,VS Code,flatten sandbox network setting
304223,Reasoning effort dialog gets hidden behind agentic browser,bug,VS Code,reasoning effort dialog get hidden behind agentic browser
304217,Flashing element when selecting New Tab from Quick Open Browser Tab,bug,VS Code,flashing element selecting new tab quick open browser tab
304205,State why a command is run outside the sandbox,bug,VS Code,state command run outside sandbox
304194,/troubleshoot slash command does not show up for Copilot CLI,bug,VS Code,troubleshoot slash command show copilot cli
304193,Lock agent dropdown after delegation to CLI,bug,VS Code,lock agent dropdown delegation cli
304192,Copilot CLI OTel Traces: Hook invocation details dont showup in Agent debug panel,bug,VS Code,copilot cli otel trace hook invocation detail dont showup agent debug panel
304183,global hooks not showing up in sessions window,bug,VS Code,global hook showing session window
304181,Add `bubblewrap` and `socat` as deps,bug,VS Code,add bubblewrap socat deps
304158,"""Add Element to Chat"" screenshot rectangle is misaligned",bug,VS Code,add element chat screenshot rectangle misaligned
304139,Chat customization: search marketplace: last entry not visible,bug,VS Code,chat customization search marketplace last entry visible
304135,Chat session not found,bug,VS Code,chat session found
304123,"""none"" as effort shows as ""low"" in logs",bug,VS Code,none effort show low log
304120,changing the reasoning effort dismisses the model picker,bug,VS Code,changing reasoning effort dismisses model picker
304116,Chat hides code blocks on initial render,bug,VS Code,chat hide code block initial render
304111,Update widget bubble origination isn't in center of button,bug,VS Code,update widget bubble origination isnt center button
304108,Apply button is confusing,bug,VS Code,apply button confusing
305654,[zh-hans] Copilot Chat shows “已完成 n 步骤s” in Chinese UI,bug,VS Code,zhhans copilot chat show n chinese ui
304057,Copilot Task output tool always comes back empty,bug,VS Code,copilot task output tool always come back empty
304050,Chat: A lot of jitter when streaming responses,bug,VS Code,chat lot jitter streaming response
304047,Artifacts Tool - artifact list is not cleared,bug,VS Code,artifact tool artifact list cleared
304040,Fork button does nothing,bug,VS Code,fork button nothing
304038,"Opening a previously run CLI chat session shows ""Thinking..."" for a moment",bug,VS Code,opening previously run cli chat session show thinking moment
304034,"When sandbox is on, add a link to learn more about this feature",bug,VS Code,sandbox add link learn feature
304026,Sessions: Chat content is trimmed,bug,VS Code,session chat content trimmed
304025,Chat customization: descriptions are cut off,bug,VS Code,chat customization description cut
304019,Chat: Rename a chat only applies after a refresh,bug,VS Code,chat rename chat applies refresh
304017,Scrollbar and submenu indicator overlap,bug,VS Code,scrollbar submenu indicator overlap
304013,Unexpected hover text,bug,VS Code,unexpected hover text
304002,Sessions: No feedback when there is a CLI failure,bug,VS Code,session feedback cli failure
303990,"Sorry, no response was returned, affecting *only* Claude models",bug,VS Code,sorry response returned affecting claude model
303931,Agent issue with terminal tool,bug,VS Code,agent issue terminal tool
303929,Sessions App: Can't scroll to the end of a sessions,bug,VS Code,session app cant scroll end session
303916,Extension host shutdown: debug channel closed before extension subscriptions are disposed,bug,VS Code,extension host shutdown debug channel closed extension subscription disposed
303908,Integrated Browser shortcut support interferes with page behavior,bug,VS Code,integrated browser shortcut support interferes page behavior
303906,Enter key broken in some integrated browser scenarios,bug,VS Code,enter key broken integrated browser scenario
303883,Sessions App: Subagent output as top level output,bug,VS Code,session app subagent output top level output
303882,Sessions App:  Session titles are too large,bug,VS Code,session app session title large
303874,Sessions App: Forking at a previous state of the conversation does include complete conversation,bug,VS Code,session app forking previous state conversation include complete conversation
303865,chat - run_in_terminal - windows - integration test failure,bug,VS Code,chat runinterminal window integration test failure
303848,`cd CWD && ` doesn't get stripped when sandboxing is enabled,bug,VS Code,cd cwd doesnt get stripped sandboxing enabled
303844,Command labels use annoying backslashes e.g. `ls \-lh`,bug,VS Code,command label use annoying backslashes eg l lh
303840,Sandboxing should not attempt running if bubblewrap and socat are missing,bug,VS Code,sandboxing attempt running bubblewrap socat missing
303820,provideChatSessionContent no longer invoked for untitled sessions,bug,VS Code,providechatsessioncontent longer invoked untitled session
303802,Configure $TMPDIR to the same value when sandboxing is on but execution is outside,bug,VS Code,configure tmpdir value sandboxing execution outside
303801,"Explore subagent reasoning isn't in its tool, but in the main thread",bug,VS Code,explore subagent reasoning isnt tool main thread
303775,All new files are being opened,bug,VS Code,new file opened
303774,fetch tool should not warn me when reading out of my workspace,bug,VS Code,fetch tool warn reading workspace
303771,Last image in image carousel is being zoomed,bug,VS Code,last image image carousel zoomed
303769,Sandboxed terminal commands end up in my shell history,bug,VS Code,sandboxed terminal command end shell history
303768,Image carousel shows input elements,bug,VS Code,image carousel show input element
303732,Math rendering for `run_in_terminal` confirmation outside the sandbox,bug,VS Code,math rendering runinterminal confirmation outside sandbox
303727,Copilot Chat send button becomes non-responsive in existing workspaces after enabling parent repository customizations,bug,VS Code,copilot chat send button becomes nonresponsive existing workspace enabling parent repository customizations
303714,"When turning sandbox on, it is possible that `requestUnsandboxedExecution` is missing from the tool definition",bug,VS Code,turning sandbox possible requestunsandboxedexecution missing tool definition
303713,Terminal context shows the sandboxed command,bug,VS Code,terminal context show sandboxed command
303701,[Copilot CLI] Failed to load chat session,bug,VS Code,copilot cli failed load chat session
303700,Sandbox rendering of commands is worse than regular rendering,bug,VS Code,sandbox rendering command worse regular rendering
303692,Memory tool invocation messages leak session IDs and show broken file widgets,bug,VS Code,memory tool invocation message leak session id show broken file widget
303665,Integrated terminal: `workbench.action.terminal.sendSequence` no longer simulates Enter with `\u000D` in Git Bash,bug,VS Code,integrated terminal workbenchactionterminalsendsequence longer simulates enter ud git bash
303645,"Chat image carousel shows broken images for element screenshots added with ""Add Element to Chat""",bug,VS Code,chat image carousel show broken image element screenshots added add element chat
303639,Custom subagents are shown with separate `Subagent:` progress in tool calls,bug,VS Code,custom subagents shown separate subagent progress tool call
303638,Browser steals focus during some interactions,bug,VS Code,browser steal focus interaction
303612,Prompt file slash commands do not have updated user query,bug,VS Code,prompt file slash command updated user query
303582,Include allowedDomains and blockedDomains in the run_in_terminal description when sandboxing is on,bug,VS Code,include alloweddomains blockeddomains runinterminal description sandboxing
303570,"Popover for ""Thinking Effort"" is hard to reach when popover has no room on right side",bug,VS Code,popover thinking effort hard reach popover room right side
303568,$TMPDIR in sandbox is mapped to /tmp/claude,bug,VS Code,tmpdir sandbox mapped tmpclaude
303554,Archiving CLI session from empty workspace doesn't persist archived state,bug,VS Code,archiving cli session empty workspace doesnt persist archived state
303553,Using `/fork` during in-progress CLI conversation results in duplicate corrupted sessions,bug,VS Code,using fork inprogress cli conversation result duplicate corrupted session
303551,Can't click fork icon while Copilot CLI is working,bug,VS Code,cant click fork icon copilot cli working
303535,Chat: pressing Enter feels slower after agent skills enabled by default,bug,VS Code,chat pressing enter feel slower agent skill enabled default
303531,"Commands with no output show the sandbox command instead of ""no output""",bug,VS Code,command output show sandbox command instead output
303505,Background commands don't get their output massaged with sandbox info,bug,VS Code,background command dont get output massaged sandbox info
303483,Model picker Auto should not show reasoning level,bug,VS Code,model picker auto show reasoning level
303469,Copilot is overthinking when implementing the plan,bug,VS Code,copilot overthinking implementing plan
303436,"gh push fails in sandbox, but agent does not offer to run outside of the sandbox",bug,VS Code,gh push fails sandbox agent offer run outside sandbox
303426,Give me option to allow-list command when offering to run outside of sandbox,bug,VS Code,give option allowlist command offering run outside sandbox
303425,"Warning ""this command will run outside the sandbox"" is too strong",bug,VS Code,warning command run outside sandbox strong
303422,Sandbox icon is not vertically aligned and could be better,bug,VS Code,sandbox icon vertically aligned could better
303370,fix image carousel image position detection.,bug,VS Code,fix image carousel image position detection
303290,Attach to integrated browser shows closed tabs,bug,VS Code,attach integrated browser show closed tab
303283,Chat tip shows again in a session after taking action on a previous chat,bug,VS Code,chat tip show session taking action previous chat
303265,terminal output is missing when using Copilot CLI,bug,VS Code,terminal output missing using copilot cli
303251,"Terminal background color from workbench.colorCustomizations ignored when moved to new window (v1.112.0, Linux)",bug,VS Code,terminal background color workbenchcolorcustomizations ignored moved new window v linux
303246,terminal.background in workbench.colorCustomizations ignored for light-base themes in 1.111.0 on macOS,bug,VS Code,terminalbackground workbenchcolorcustomizations ignored lightbase theme macos
303223,Sandbox command doesn't always render codicon,bug,VS Code,sandbox command doesnt always render codicon
303222,Update widget doesn't behave nicely as the window gets horizontally collapsed,bug,VS Code,update widget doesnt behave nicely window get horizontally collapsed
303174,autopilot mode should allow curl in terminal,bug,VS Code,autopilot mode allow curl terminal
303151,"The ""list"" argument must be an instance of SharedArrayBuffer, ArrayBuffer or ArrayBufferView.",bug,VS Code,list argument must instance sharedarraybuffer arraybuffer arraybufferview
303118,⇧⌘W is hijacked by terminal when using `fish`,bug,VS Code,w hijacked terminal using fish
303115,User-level skills not recognized,bug,VS Code,userlevel skill recognized
303076,Sessions: title is not good for cloud sessions,bug,VS Code,session title good cloud session
303052,Can't show top menu bar by pressing 'alt' key after vscode update,bug,VS Code,cant show top menu bar pressing alt key vscode update
303022,Sessions: Different history and options depending on how launched,bug,VS Code,session different history option depending launched
303012,MCP tools added via tools/list_changed during a conversation are not discoverable by the agent,bug,VS Code,mcp tool added via toolslistchanged conversation discoverable agent
302993,Sessions: The session filter displays two `Local` session types,bug,VS Code,session session filter display two local session type
302971,Sessions: view changes as tree should compute paths from the workspace,bug,VS Code,session view change tree compute path workspace
302963,Sessions: codereview obscured,bug,VS Code,session codereview obscured
302959,Sessions: changes that accumulate in a new session at the turn end do not make changes view appear,bug,VS Code,session change accumulate new session turn end make change view appear
302951,Title bar update widget told me I was up to date but there was an update available,bug,VS Code,title bar update widget told date update available
302948,Time to update telemetry is only fired if the title bar widget is enabled,bug,VS Code,time update telemetry fired title bar widget enabled
302941,vscode update popup window is not updating % value on mouse hover,bug,VS Code,vscode update popup window updating value mouse hover
302940,Agent Doesn't Recognize Skills,bug,VS Code,agent doesnt recognize skill
302923,Bad color contrast on questions in light theme,bug,VS Code,bad color contrast question light theme
302907,Unexpected note in the output of commands executed in the sandbox,bug,VS Code,unexpected note output command executed sandbox
302904,Support multi-root workspaces in sandboxing,bug,VS Code,support multiroot workspace sandboxing
302880,Problems panel showing problems from Copilot configuration files,bug,VS Code,problem panel showing problem copilot configuration file
302820,Agent Debug Panel shows duplicated entries,bug,VS Code,agent debug panel show duplicated entry
302815,Add titlebar property to update events,bug,VS Code,add titlebar property update event
302808,Copilot CLI does not indicate input needed at all,bug,VS Code,copilot cli indicate input needed
302807,Sessions - Changed files appear as +0 -0,bug,VS Code,session changed file appear
302794,LEAKED DISPOSABLE] Error: CREATED via:,bug,VS Code,leaked disposable error created via
302762,"Copilot CLI: When using prompt files, attachments are not included",bug,VS Code,copilot cli using prompt file attachment included
302690,ExtensionEditor can not show dependencies,bug,VS Code,extensioneditor show dependency
302665,Sessions: New session initial send just opens up latest session,bug,VS Code,session new session initial send open latest session
302622,Copilot CLI: Sub agents tool calls not grouped correctly,bug,VS Code,copilot cli sub agent tool call grouped correctly
302597,Copilot chat failed to load because of incompatible verison,bug,VS Code,copilot chat failed load incompatible verison
302579,Agent Plugin's MCP does not expand env variables,bug,VS Code,agent plugins mcp expand env variable
302576,MCP server from context7 plugin does not load,bug,VS Code,mcp server context plugin load
302551,Copilot cli sessions seem to get stuck,bug,VS Code,copilot cli session seem get stuck
302524,Return key produces ANSI escape codes `^[[13u` in Terminal,bug,VS Code,return key produce ansi escape code u terminal
302512,I can add a marketplace in Customizations but this is independent of the marketplace setting. Need to clarify relation between the two.,bug,VS Code,add marketplace customizations independent marketplace setting need clarify relation two
302509,Show installed plugins when looking for @agentPlugins @installed in the extensions view,bug,VS Code,show installed plugins looking agentplugins installed extension view
302502,Claude Models not working with EDU SKU - Error During Execution,bug,VS Code,claude model working edu sku error execution
302499,"When an agent uses a task, it will cause the conversation to be blocked.",bug,VS Code,agent us task cause conversation blocked
302477,Fetch Telemetry is collected in stable,bug,VS Code,fetch telemetry collected stable
302475,Ollama Provider: Misreading Context Length for some models,bug,VS Code,ollama provider misreading context length model
302456,Sessions: Show session counts for repo nodes,bug,VS Code,session show session count repo node
302453,"Sessions: The ""Other"" group should be at the bottom when the sessions list is grouped by repo",bug,VS Code,session group bottom session list grouped repo
302408,Debounce and getting lang ctx should respect cancellation token,bug,VS Code,debounce getting lang ctx respect cancellation token
302406,editor.emmet.action.toggleComment,bug,VS Code,editoremmetactiontogglecomment
302388,Built-in prompts require approval to read,bug,VS Code,builtin prompt require approval read
302379,"Opening a new window shows flickering ""No Updates Available"" UX",bug,VS Code,opening new window show flickering update available ux
302337,Sessions: Worktree-init actions can feel a bit noisy after a while,bug,VS Code,session worktreeinit action feel bit noisy
302330,Flickering in editor decorations while debugging,bug,VS Code,flickering editor decoration debugging
302327,There might be a display issue with the affordance.,bug,VS Code,might display issue affordance
302325,"""Built-In"" MCPs is confusing",bug,VS Code,builtin mcps confusing
302289,Error telemetry stack traces are fully redacted in web environments (Codespaces),bug,VS Code,error telemetry stack trace fully redacted web environment codespaces
302279,Sessions: Unclear on completed timestamp,bug,VS Code,session unclear completed timestamp
302277,Sessions: Interactions with existing Claude sessions,bug,VS Code,session interaction existing claude session
302275,nested cli linking not working,bug,VS Code,nested cli linking working
302268,Copilot CLI session link handler doesn't support `plan.md`,bug,VS Code,copilot cli session link handler doesnt support planmd
302266,Images lost from context after reloading the window,bug,VS Code,image lost context reloading window
302256,Failed to apply changes to the current workspace. Please stage or commit your changes in the current workspace and try again.,bug,VS Code,failed apply change current workspace please stage commit change current workspace try
302236,Agent finishes abruptly with todos still still unchecked,bug,VS Code,agent finish abruptly todos still still unchecked
302229,`/troubleshoot` turns blue for copilot CLI but isn't registered,bug,VS Code,troubleshoot turn blue copilot cli isnt registered
302227,How should file conflicts be handled for copilot cli relative file link opening?,bug,VS Code,file conflict handled copilot cli relative file link opening
302219,Running 'troubleshoot' in an empty chat leads to confused agent,bug,VS Code,running troubleshoot empty chat lead confused agent
302215,/troubleshoot relies on independent log flush,bug,VS Code,troubleshoot relies independent log flush
302212,Other Models experience in model dialog not a delightful screen reader experience (ctrl+alt+.).,bug,VS Code,model experience model dialog delightful screen reader experience ctrlalt
302207,Phrasing of image carousel context menu option,bug,VS Code,phrasing image carousel context menu option
302206,Copilot cli doesn't show `needs input` status,bug,VS Code,copilot cli doesnt show need input status
302202,Image duplicated in carousel,bug,VS Code,image duplicated carousel
302200,"Sessions: Terminal and command output is not visible when the agent runs commands, showing ""The terminal is no longer available""",bug,VS Code,session terminal command output visible agent run command showing terminal longer available
302195,Steering feels slightly different with copilot cli,bug,VS Code,steering feel slightly different copilot cli
302191,can use the troubleshoot skill without the settings enabled,bug,VS Code,use troubleshoot skill without setting enabled
302187,Can't steer copilot cli requests after reloading an active session,bug,VS Code,cant steer copilot cli request reloading active session
302185,`Stop and send` doesn't work with copilot cli,bug,VS Code,stop send doesnt work copilot cli
302153,Autopilot mode -> task_completed tool call is shown in chat,bug,VS Code,autopilot mode taskcompleted tool call shown chat
302134,live sever not work,bug,VS Code,live sever work
302128,Handle NES patch-based model: Response contained no choices,bug,VS Code,handle ne patchbased model response contained choice
302121,Unable to open 'back9-crm' Unable to resolve resource vscode-remote://codespaces%2Bvigilant-engine-pj49969596pg364r/workspaces/back9-crm,bug,VS Code,unable open backcrm unable resolve resource vscoderemotecodespacesbvigilantenginepjpgrworkspacesbackcrm
302113,Restart to update,bug,VS Code,restart update
302089,Context Auto Compact is not always triggered and usage goes above 100%,bug,VS Code,context auto compact always triggered usage go
302076,Modal editor can be resized out of screen,bug,VS Code,modal editor resized screen
302068,Typing in copilot cli is entering text in wrong location,bug,VS Code,typing copilot cli entering text wrong location
302062,Inline chat gets gpt41,bug,VS Code,inline chat get gpt
302054,"""Check for updates"" when no updates are available gets stuck",bug,VS Code,check update update available get stuck
302044,Sandbox seems broken,bug,VS Code,sandbox seems broken
302032,Theming Issues,bug,VS Code,theming issue
302016,"[Unhandled Error] [935a] potential listener LEAK detected, having 7391 listeners already. MOST frequent listener (7217...",bug,VS Code,unhandled error potential listener leak detected listener already frequent listener
302014,"Clicking on generated symbolic link causes error, relative link does not do anything",bug,VS Code,clicking generated symbolic link cause error relative link anything
301997,Chat image carousel doesn't always show title,bug,VS Code,chat image carousel doesnt always show title
301981,No update indication anymore,bug,VS Code,update indication anymore
301932,Empty tools in Custom Agent don't work in Copilot CLI,bug,VS Code,empty tool custom agent dont work copilot cli
301928,Copilot CLI terminal tools are never invoked due to sandboxing feature missing dependencies,bug,VS Code,copilot cli terminal tool never invoked due sandboxing feature missing dependency
301901,ChatPromptReference no longer contains the `range` value when a request is sent with a slash command,bug,VS Code,chatpromptreference longer contains range value request sent slash command
301879,Github Copilot CLI with Worktree fails with no obvious error message,bug,VS Code,github copilot cli worktree fails obvious error message
301858,Troubleshoot skill does not resolve the {{CURRENT_SESSION_LOG}},bug,VS Code,troubleshoot skill resolve currentsessionlog
301819,VS Code dock icon appears too large on macOS 15.7.4,bug,VS Code,v code dock icon appears large macos
301779,Dragging editor tab when filename is truncated also drags part of the tab header UI,bug,VS Code,dragging editor tab filename truncated also drag part tab header ui
301758,Chats in Editor are not able get Debug Logs,bug,VS Code,chat editor able get debug log
301742,Sessions: changes no longer reveal when they occur,bug,VS Code,session change longer reveal occur
301677,Do not block opening CLI sessions,bug,VS Code,block opening cli session
301672,Sessions: progress bar when session loads goes through the previous content,bug,VS Code,session progress bar session load go previous content
301645,"Built-in Profile template ""Python"" fails to create — Create button disabled",bug,VS Code,builtin profile template python fails create create button disabled
301619,Don't see changed file list and `Failed to execute git` after steering Copilot CLI session on worktree,bug,VS Code,dont see changed file list failed execute git steering copilot cli session worktree
301609,Typing rendered out of screen to far right in Copilot CLI with IME on Windows,bug,VS Code,typing rendered screen far right copilot cli ime window
301608,Agents and task usage,bug,VS Code,agent task usage
301594,Only some links clickable from Copilot CLI in terminal,bug,VS Code,link clickable copilot cli terminal
301593,`Error auto updating` message after running `copilot` in terminal,bug,VS Code,error auto updating message running copilot terminal
301568,"Improve screen reader labels: expose implicit context, include disable-setting hint, and label remove button",bug,VS Code,improve screen reader label expose implicit context include disablesetting hint label remove button
301564,Accessible View should include file paths when presenting file references,bug,VS Code,accessible view include file path presenting file reference
301563,Update status bar entry receives focus automatically in screen reader mode,bug,VS Code,update status bar entry receives focus automatically screen reader mode
301518,New custom MCP tools dialog constrains break the UI,bug,VS Code,new custom mcp tool dialog constrains break ui
301508,Shift + 1234567890 interactions with terminal apps are broken in 1.110 and 1.111,bug,VS Code,shift interaction terminal apps broken
301499,Update titlebar control pushes command center,bug,VS Code,update titlebar control push command center
301493,It prompts me for permission to read instruction files in my ~/.copilot folder on every run,bug,VS Code,prompt permission read instruction file copilot folder every run
301491,We found a newer update available and have started to download it. We'll let you know as soon as it's ready to install.,bug,VS Code,found newer update available started download well let know soon ready install
